,time(s),x_max,x_min,x_avg,y_max,y_min,y_avg,y_diff,z_max,z_min,z_avg,smv_max,smv_min,smv_avg,label
0,2.0,0.25,-2.68,-1.3651000000000024,5.08,0.04,2.7712600000000056,5.04,13.25,6.75,9.320749999999997,13.374546721291155,7.779665802590751,9.927433153931823,0
1,4.0,2.03,-2.18,0.03282000000000017,5.69,2.43,3.660230000000005,3.2600000000000002,10.58,7.74,9.255820000000014,11.486444184341819,8.817227455385282,10.04307829391922,0
2,6.0,1.71,-5.66,-1.1365099999999997,4.27,-0.76,2.0594400000000017,5.029999999999999,12.63,6.05,9.48481999999999,12.90981796928214,6.34743255182755,10.038126417358065,0
3,8.0,1.38,-1.78,-0.2142000000000001,5.33,1.73,3.104680000000003,3.6,11.27,7.28,9.361290000000002,11.582875290703946,8.315010523144274,9.946412971073602,0
4,10.0,2.16,-1.31,0.6031900000000007,3.48,-0.85,1.8671100000000007,4.33,12.94,7.17,9.742630000000016,13.026054659796264,7.627371762278275,10.028175488370296,0
5,12.0,76.28,-45.12,1.2798600000000049,19.43,-70.14,-0.6171199999999957,89.57,76.74,-75.18,1.5689399999999967,119.44480315191616,0.29597297173897485,10.119740116989279,1
6,14.0,18.82,-5.48,6.9789800000000035,4.02,-8.47,-0.878430000000006,12.49,9.28,-14.05,-0.3319299999999996,21.22878234850035,2.679067001775058,10.718209891426262,0
7,16.0,76.0,-47.38,1.2079599999999993,35.67,-27.9,2.093049999999998,63.57,78.15,-8.82,6.756949999999995,109.70845455114204,0.15556349186104046,9.940040745200609,1
8,18.0,8.38,-4.16,0.39939000000000047,4.37,-4.09,0.7336900000000003,8.46,16.55,1.23,9.46082000000001,16.92682486469332,2.928634494094475,9.984834599755759,0
9,20.0,77.55,-70.46,2.9185799999999933,46.53,-74.43,-1.9405699999999897,120.96000000000001,76.07,-75.39,-0.9186799999999987,126.86942105960757,0.3910242959203431,11.620862923466852,1
10,22.0,15.25,-0.45,3.3817600000000008,3.24,-17.74,-2.359180000000002,20.979999999999997,9.52,-12.49,-2.40055000000001,23.28847354379415,3.1648222698913124,10.238835895195662,0
11,24.0,4.08,-1.46,0.6414600000000004,7.2,0.98,5.216019999999998,6.220000000000001,11.17,5.19,8.155310000000002,12.52182494686777,5.478923251880793,9.900400770779775,0
12,26.0,2.59,-0.91,1.19736,7.68,3.1,5.722260000000001,4.58,10.19,5.48,7.950720000000004,11.729936061206812,7.475546802742928,9.9652743528546,0
13,28.0,2.64,0.23,1.6731999999999965,6.77,3.43,5.251759999999999,3.3399999999999994,10.68,5.96,8.327760000000008,11.654780135206327,8.100592570917266,10.05483194696629,0
14,30.0,2.04,-0.5,0.6770399999999994,5.34,1.17,3.6253600000000024,4.17,13.24,7.47,9.154549999999984,13.394629520819157,7.945099118324453,9.965071759848922,0
15,32.0,73.54,-25.21,2.050830000000001,47.05,-28.7,0.4654599999999988,75.75,75.05,-74.88,2.1473200000000014,106.79208819009018,0.08124038404635961,9.7748779466278,1
16,34.0,11.3,-2.01,6.482660000000002,5.0,-9.45,-1.6043100000000057,14.45,2.68,-21.44,-4.3037900000000056,21.46122550088881,0.9043782394551519,10.58946235350711,0
17,36.0,78.15,-47.93,1.9968399999999973,10.51,-37.02,1.763830000000014,47.53,78.15,-3.75,5.924430000000003,111.81755407806058,0.22293496809607952,9.402542825529542,0
18,38.0,8.99,-3.91,2.537519999999999,5.66,-4.36,1.4670000000000016,10.02,15.08,1.59,7.922760000000012,15.720884199051909,5.555591777659694,9.824665267695593,0
19,40.0,75.09,-40.16,3.1841099999999902,28.0,-67.06,-0.47323999999999994,95.06,72.0,-74.82,-4.278219999999994,107.01085458961629,0.17233687939614087,10.694048433269353,1
20,42.0,12.14,-5.95,4.003929999999999,16.95,-5.65,-1.7105599999999999,22.6,9.72,-71.94,-3.9797000000000056,74.42364543611123,1.3210223313782399,10.494880172420714,0
21,44.0,4.1,-1.3,1.5225799999999987,4.82,0.93,3.047009999999996,3.89,11.7,6.38,8.972259999999983,11.94545101701899,7.078283690274077,9.730918199983888,0
22,46.0,2.2,-1.93,0.41201999999999905,4.74,1.67,3.5411900000000083,3.0700000000000003,11.91,6.89,9.26426,12.239064506734163,8.031469354981068,10.004159111214367,0
23,48.0,1.89,-1.15,0.39574000000000054,7.18,3.37,5.124120000000008,3.8099999999999996,10.61,6.46,8.43719000000002,11.345734881443335,8.256791144264216,9.95392813015524,0
24,50.0,2.13,-1.26,0.5358400000000004,5.9,1.6,3.901419999999992,4.300000000000001,12.34,7.09,9.211710000000018,12.471615773427274,8.150864984773088,10.156773150919191,0
25,52.0,3.36,-1.19,1.1863299999999921,5.64,-1.65,2.730869999999998,7.289999999999999,12.47,-0.77,7.522920000000002,12.534647980697345,0.15811388300841897,8.320198790039004,0
26,54.0,51.49,-47.21,3.398499999999997,45.56,-55.52,-1.2678499999999981,101.08000000000001,71.53,-75.84,-6.1219999999999954,93.80777046705673,0.7819207120929845,11.042534426232733,1
27,56.0,61.8,-13.53,0.5754600000000197,24.58,-78.12,-1.9232399999999816,102.7,75.83,-73.92,6.137299999999993,101.69406324854957,0.5030904491242106,11.045162178337963,1
28,58.0,78.15,-52.61,-1.3929499999999866,24.15,-77.68,-1.5182399999999958,101.83000000000001,74.42,-66.06,3.84571999999999,121.23269938428328,1.2709838708654018,9.283573736021788,1
29,60.0,2.6,-12.28,-3.8346999999999976,2.61,-10.76,-2.714870000000003,13.37,11.84,-2.38,6.014340000000012,16.52417925344554,6.04656100605956,10.213776896944587,0
30,62.0,5.49,-10.45,-0.7979999999999986,4.73,-3.17,-0.14204999999999982,7.9,14.14,-2.97,8.115610000000004,14.826638189421095,4.79891654438791,9.894278242447443,0
31,64.0,9.27,4.76,6.920780000000002,-1.31,-9.07,-5.274490000000003,7.76,10.2,1.69,4.9811299999999985,12.535238330402816,8.179712708891431,10.491216174315728,0
32,66.0,11.95,2.26,7.746349999999999,5.04,-6.9,-3.3951999999999916,11.940000000000001,7.25,1.67,3.967989999999999,13.965307014169076,7.384267059092595,10.267838703608856,0
