time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
19.041000,-0.1892,0.1747,0.2905,0.388
19.055000,0.5517,0.1294,0.6553,0.866
19.060000,0.5159,0.0807,0.0498,0.525
19.081000,-0.1527,-0.2701,-0.2791,0.417
19.091000,0.3121,-0.0373,-0.1933,0.369
19.100000,0.0641,-0.1925,0.1218,0.237
19.112000,-0.1065,-0.3119,0.1024,0.345
19.128000,-0.3173,-0.2821,0.4411,0.612
19.148000,-0.2165,-0.0061,0.5932,0.632
19.159000,-0.2120,0.5862,0.6459,0.898
19.173000,0.2354,1.0670,0.7339,1.316
19.187000,-0.0594,0.2086,0.4887,0.535
19.202000,-0.1285,0.0711,0.3841,0.411
19.215000,0.1421,0.2009,0.3400,0.420
19.221000,0.2516,0.2294,0.3637,0.498
19.239000,0.2775,0.2299,0.3704,0.517
19.249000,0.3094,0.2059,0.5114,0.632
19.257000,0.2460,0.1995,0.5424,0.628
19.273000,0.1481,0.1613,0.5846,0.624
19.280000,0.0758,0.2479,0.7794,0.821
19.294000,0.1047,0.2589,0.8413,0.886
19.303000,0.0506,0.2128,0.8395,0.868
19.311000,0.0275,0.2018,0.7618,0.789
19.325000,0.1309,0.1903,0.5729,0.618
19.337000,0.1966,0.2869,0.4820,0.594
19.342000,0.1143,0.0719,0.3173,0.345
19.358000,0.0086,-0.0108,0.1722,0.173
19.381000,-0.0553,-0.0662,0.1525,0.175
19.392000,0.3100,-0.2045,0.3162,0.488
19.400000,0.5704,-0.0940,0.3273,0.664
19.416000,0.5222,-0.0016,0.0594,0.526
19.436000,0.2652,0.0382,-0.0686,0.277
19.456000,0.0608,0.0719,-0.0255,0.098
19.464000,-0.1141,0.0893,-0.0035,0.145
19.476000,-0.0073,0.1297,0.0816,0.153
19.492000,0.2123,0.1647,0.1682,0.317
19.505000,0.3945,0.1452,0.2452,0.487
19.514000,0.3953,0.0530,0.2200,0.455
19.548000,0.3611,0.0465,0.0595,0.369
19.561000,0.3447,-0.0550,-0.1424,0.377
19.576000,0.3533,-0.0948,-0.1512,0.396
19.590000,0.3960,-0.0724,-0.1306,0.423
19.598000,0.4235,0.0197,-0.1247,0.442
19.614000,0.2935,0.0355,-0.1275,0.322
19.629000,0.1802,0.0612,-0.1102,0.220
19.642000,0.2194,-0.0221,-0.1861,0.289
19.656000,0.4039,-0.1772,-0.3606,0.570
19.672000,0.4887,-0.2196,-0.4002,0.669
19.688000,0.4770,-0.0815,-0.2175,0.531
19.701000,0.4565,-0.0708,0.1318,0.480
19.712000,0.5314,0.0015,0.3221,0.621
19.722000,0.6005,-0.0809,0.2265,0.647
19.734000,0.5721,-0.2021,0.0026,0.607
19.750000,0.6111,-0.1304,0.0764,0.630
19.768000,0.6766,-0.0612,0.1916,0.706
19.780000,0.6403,-0.0427,0.2218,0.679
19.794000,0.5112,-0.0516,0.0949,0.522
19.800000,0.3736,-0.0703,-0.0026,0.380
19.809000,0.1350,-0.0140,-0.0953,0.166
19.820000,0.0891,0.0086,-0.0366,0.097
19.836000,0.2027,0.0188,0.0370,0.207
19.850000,0.3387,0.0409,0.0094,0.341
19.860000,0.1724,0.1264,0.0279,0.216
19.870000,-0.0827,0.2094,0.0388,0.228
19.880000,-0.1142,0.1931,0.0707,0.235
19.896000,-0.2054,0.1385,0.1620,0.296
19.914000,-0.1684,0.1270,0.2404,0.320
19.929000,-0.1459,0.1740,0.3327,0.403
19.936000,-0.3254,0.3487,0.1136,0.490
19.958000,-0.5118,0.4405,-0.0585,0.678
19.969000,-0.3883,0.5372,-0.3237,0.738
19.982000,-0.2334,0.5269,-0.4269,0.717
19.996000,-0.1813,0.4209,-0.5476,0.714
20.013000,-0.0177,0.3027,-0.4849,0.572
20.026000,0.3132,0.1274,-0.3120,0.460
20.033000,0.3372,-0.0254,-0.2007,0.393
20.054000,0.3999,-0.1302,-0.0857,0.429
20.074000,0.5119,0.0079,-0.0297,0.513
20.091000,0.4796,0.0100,-0.0781,0.486
20.097000,-0.0261,0.1415,-3.3977,3.401
20.107000,0.7663,0.0337,0.0340,0.768
20.122000,0.6192,0.2875,0.5987,0.908
20.136000,0.1508,0.5265,0.0223,0.548
20.163000,-0.2484,0.4363,-0.4116,0.649
20.190000,-0.4235,0.2030,-0.6501,0.802
20.190000,0.2081,0.1744,-0.2287,0.355
20.196000,-0.0907,-0.0770,-0.1240,0.172
20.209000,0.1644,0.0346,0.0348,0.172
20.217000,0.3284,0.1303,0.1803,0.397
20.227000,0.3596,0.2337,0.2445,0.494
20.236000,0.3301,0.2410,0.1783,0.446
20.253000,0.0710,0.2098,0.1210,0.252
20.261000,-0.0377,0.0833,0.2895,0.304
20.284000,-0.0907,0.1350,0.5402,0.564
20.299000,-0.1040,0.2150,0.8148,0.849
20.316000,0.0010,0.2947,1.1063,1.145
20.326000,0.1207,0.3795,1.3254,1.384
20.337000,0.1144,0.4159,0.8098,0.918
20.353000,-0.0120,0.3200,0.4951,0.590
20.359000,0.0191,0.1987,0.5378,0.574
20.380000,0.1021,0.2153,0.5781,0.625
20.395000,0.2271,0.1898,0.5420,0.618
20.409000,0.1869,0.1605,0.4817,0.541
20.416000,0.1239,0.1119,0.4303,0.462
20.429000,0.2647,-0.0571,0.3517,0.444
20.437000,0.4184,-0.0998,0.3237,0.538
20.452000,0.5560,-0.1539,0.3067,0.653
20.461000,0.6636,-0.2428,0.3127,0.773
20.470000,0.6711,-0.2882,0.3461,0.808
20.478000,0.5501,-0.2772,0.3619,0.714
20.495000,0.4736,-0.2904,0.3224,0.642
20.504000,0.4063,-0.3027,0.2434,0.562
20.520000,0.4174,-0.3278,0.1669,0.556
20.547000,0.4447,-0.2596,0.1194,0.529
20.558000,0.3807,-0.2294,0.0853,0.453
20.574000,0.3788,-0.2087,-0.0370,0.434
20.588000,0.4188,-0.2140,-0.2111,0.516
20.598000,0.4349,-0.1968,-0.1130,0.491
20.612000,0.3134,-0.1970,-0.0364,0.372
20.626000,0.3234,-0.1361,-0.0302,0.352
20.636000,0.3594,-0.1330,0.0044,0.383
20.659000,0.3552,-0.0840,-0.0167,0.365
20.669000,0.3503,-0.0628,-0.1375,0.382
20.680000,0.3200,-0.0873,-0.1530,0.365
20.702000,0.2980,-0.0589,-0.0949,0.318
20.716000,0.3571,-0.0244,-0.1302,0.381
20.730000,0.3329,-0.0191,-0.1165,0.353
20.742000,0.3189,-0.0117,-0.1537,0.354
20.760000,0.3694,-0.0401,-0.1447,0.399
20.766000,0.3609,-0.0196,-0.1159,0.380
20.780000,0.1653,-0.0566,-0.0979,0.200
20.790000,-0.2560,-0.1143,-0.0693,0.289
20.796000,0.1219,0.0118,0.5298,0.544
20.812000,0.0839,-0.0029,0.5926,0.599
20.831000,0.1124,-0.0054,0.6124,0.623
20.840000,0.2159,0.0234,0.5033,0.548
20.857000,0.2216,-0.0090,0.3083,0.380
20.874000,0.2016,-0.0197,0.0611,0.212
20.890000,0.2658,0.0075,-0.0854,0.279
20.900000,0.2754,-0.0175,-0.1015,0.294
20.906000,0.3273,0.0370,-0.1665,0.369
20.923000,0.2351,0.0542,-0.1740,0.297
20.928000,0.0735,0.0356,-0.1749,0.193
20.939000,0.0309,0.0708,-0.1306,0.152
20.954000,-0.0198,0.0876,-0.0480,0.102
20.970000,0.0059,0.0859,0.0144,0.087
20.984000,0.0504,0.0332,0.0786,0.099
21.000000,0.0875,-0.0587,0.1531,0.186
21.006000,0.1502,-0.0853,0.1807,0.250
21.022000,0.1921,-0.0300,0.2254,0.298
21.039000,0.1933,-0.0015,0.1998,0.278
21.061000,0.1308,-0.0153,0.2257,0.261
21.071000,0.0755,-0.0285,0.2036,0.219
21.086000,0.0911,0.0134,0.1247,0.155
21.100000,0.1814,0.0638,0.0952,0.215
21.106000,0.1740,0.0362,0.0169,0.179
21.124000,0.0762,-0.0300,0.0666,0.106
21.136000,0.0687,-0.0580,0.1074,0.140
21.150000,0.1058,-0.0364,0.1081,0.156
21.158000,0.1058,-0.0056,0.0309,0.110
21.176000,0.0737,-0.0228,0.0031,0.077
21.193000,0.1057,-0.0213,0.0249,0.111
21.198000,0.1298,0.0390,0.0475,0.144
21.212000,0.1223,0.0692,0.1586,0.212
21.226000,0.1438,0.1276,0.2078,0.283
21.238000,0.0905,0.0779,0.3595,0.379
21.252000,0.0519,0.0426,0.3855,0.391
21.260000,0.2316,0.0077,0.2620,0.350
21.276000,0.1524,-0.1702,0.3634,0.429
21.292000,0.2939,0.0105,0.3248,0.438
21.315000,0.1859,-0.0647,0.2197,0.295
21.316000,0.1026,-0.0286,0.1640,0.196
21.320000,0.1626,0.0047,0.1434,0.217
21.332000,0.1765,0.0075,0.0870,0.197
21.345000,0.1285,-0.0273,-0.0005,0.131
21.358000,0.1010,-0.0349,-0.0709,0.128
21.370000,0.0696,-0.0461,-0.1517,0.173
21.381000,0.0068,-0.0548,-0.1257,0.137
21.394000,0.0598,-0.0027,-0.1392,0.152
21.400000,0.1655,0.0235,-0.1644,0.234
21.411000,0.1933,0.0296,-0.0530,0.203
21.420000,0.1573,-0.0029,0.0923,0.182
21.446000,0.1214,-0.0153,0.2543,0.282
21.457000,0.0708,-0.0276,0.3541,0.362
21.475000,0.1774,0.0010,0.3326,0.377
21.478000,0.1898,0.0281,0.2112,0.285
21.493000,0.1267,0.0253,0.1165,0.174
21.510000,0.1476,0.0516,0.0762,0.174
21.517000,0.1674,0.0107,0.0574,0.177
21.530000,0.1373,-0.0287,0.0656,0.155
21.554000,0.1206,-0.0669,0.1470,0.202
21.572000,0.0687,-0.0083,0.1429,0.159
21.594000,-0.0529,0.0483,0.1716,0.186
21.604000,0.0573,0.1245,0.1550,0.207
21.620000,0.1188,0.0719,0.1888,0.234
21.634000,0.1709,0.0507,0.1633,0.242
21.652000,0.2425,0.0698,0.1817,0.311
21.658000,0.1717,0.0989,0.2180,0.295
21.676000,0.0324,0.1074,0.3835,0.400
21.693000,0.0179,0.0928,0.4188,0.429
21.707000,0.0939,0.0867,0.4883,0.505
21.726000,0.2018,0.0694,0.3822,0.438
21.751000,0.1797,0.0791,0.3513,0.402
21.760000,0.0344,0.0191,0.2928,0.295
21.762000,0.2130,0.0620,0.2891,0.364
21.772000,0.3037,0.0701,0.2395,0.393
21.778000,0.2962,0.1008,0.0731,0.321
21.794000,0.1462,0.0652,0.0126,0.161
21.804000,0.1284,0.0350,-0.0591,0.146
21.822000,0.2108,0.0388,-0.0382,0.218
21.832000,0.1744,0.0325,0.0648,0.189
21.845000,0.0527,0.0198,0.1337,0.145
21.860000,-0.0193,0.0316,0.1810,0.185
21.880000,0.0309,0.0512,0.1525,0.164
21.897000,0.0959,0.0652,0.0563,0.129
21.908000,0.0667,0.0640,-0.0344,0.099
21.923000,0.0144,0.0326,-0.1534,0.157
21.937000,-0.1028,-0.0134,-0.2441,0.265
21.953000,-0.1036,0.0126,-0.2018,0.227
21.960000,-0.1541,0.0112,-0.0105,0.155
21.976000,-0.1413,0.0124,0.0481,0.150
21.988000,-0.0963,0.0442,0.0640,0.124
21.996000,-0.1228,0.0352,0.2173,0.252
22.014000,-0.1024,0.0060,0.3869,0.400
22.023000,-0.0577,0.0339,0.3607,0.367
22.038000,-0.0125,0.0410,0.3551,0.358
22.050000,-0.0506,0.0344,0.3216,0.327
22.062000,-0.0875,0.0392,0.2812,0.297
22.072000,-0.0876,0.0347,0.2122,0.232
22.086000,-0.0735,0.0478,0.2019,0.220
22.098000,-0.0591,0.0515,0.1910,0.206
22.108000,-0.0373,0.0371,0.1896,0.197
22.136000,0.0216,0.0659,0.2148,0.226
22.141000,0.0305,0.0797,0.1917,0.210
22.159000,0.0411,0.0798,0.1866,0.207
22.169000,-0.0102,0.0649,0.0950,0.116
22.182000,-0.0238,0.0570,0.0660,0.090
22.199000,0.0184,0.0489,0.0046,0.052
22.216000,0.0585,0.0225,-0.0320,0.070
22.223000,0.0556,0.0089,-0.0702,0.090
22.240000,-0.0383,-0.0147,-0.0869,0.096
22.252000,-0.1283,-0.0330,-0.0072,0.133
22.258000,-0.1163,-0.0548,-0.0007,0.129
22.268000,-0.0663,-0.0373,-0.0178,0.078
22.291000,-0.0562,0.0086,-0.0033,0.057
22.310000,-0.1152,0.0087,0.0955,0.150
22.311000,-0.1134,0.0011,0.1283,0.171
22.319000,-0.0921,-0.0263,0.1265,0.159
22.328000,-0.1113,-0.0354,0.0919,0.149
22.349000,-0.1654,-0.0055,0.0654,0.178
22.361000,-0.1746,0.0246,0.0950,0.200
22.368000,-0.1618,0.0642,0.1718,0.245
22.387000,-0.1103,0.0461,0.2279,0.257
22.397000,-0.0232,0.0573,0.3251,0.331
22.404000,0.0034,0.0866,0.3558,0.366
22.428000,-0.0276,0.1119,0.3455,0.364
22.443000,-0.0448,0.0990,0.2441,0.267
22.459000,-0.0546,0.1135,0.1656,0.208
22.470000,-0.0620,0.1000,0.0451,0.126
22.480000,-0.0326,0.0777,0.0425,0.094
22.495000,-0.0659,0.0360,0.0708,0.103
22.510000,-0.0671,0.0443,0.0230,0.084
22.525000,-0.0577,0.0630,0.0624,0.106
22.550000,-0.0896,0.0428,0.1507,0.180
22.568000,-0.1667,-0.0059,0.2569,0.306
22.585000,-0.1617,-0.0242,0.2761,0.321
22.600000,-0.1295,0.0040,0.2214,0.257
22.617000,-0.0517,0.0103,-0.0399,0.066
22.630000,-0.0463,0.0275,-0.1385,0.149
22.650000,-0.1198,0.0147,-0.1329,0.180
22.668000,-0.1102,0.0183,0.0155,0.113
22.682000,-0.1471,0.0179,0.1820,0.235
22.694000,-0.0737,0.0113,0.3385,0.347
22.717000,-0.0673,0.0085,0.2903,0.298
22.720000,-0.0444,0.0298,-0.0102,0.054
22.732000,-0.0809,0.0394,-0.0332,0.096
22.750000,-0.0470,0.0590,0.1893,0.204
22.762000,-0.0152,0.0548,0.1938,0.202
22.776000,-0.0258,0.0188,0.0887,0.094
22.791000,-0.1266,-0.0187,0.0559,0.140
22.803000,-0.1520,-0.0275,-0.0507,0.163
22.812000,-0.1577,-0.0274,-0.0526,0.168
22.829000,-0.1281,-0.0369,-0.0344,0.138
22.840000,-0.1096,-0.0361,-0.0441,0.124
22.848000,-0.0842,-0.0357,0.0174,0.093
22.862000,-0.0273,-0.0043,0.1035,0.107
22.872000,0.0284,0.0187,0.2167,0.219
22.880000,0.0311,0.0113,0.2747,0.277
22.897000,0.0286,0.0426,0.2746,0.279
22.906000,-0.0393,0.0440,0.3396,0.345
22.922000,-0.0446,0.0441,0.3958,0.401
22.938000,0.0204,0.1012,0.3015,0.319
22.950000,0.0291,0.1164,0.2181,0.249
22.963000,0.1284,0.0835,0.1553,0.218
22.987000,0.1228,0.0592,0.2545,0.289
23.013000,0.1133,0.0973,0.3675,0.397
23.014000,0.1020,0.1074,0.3932,0.420
23.019000,0.1676,0.0975,0.3453,0.396
23.026000,0.1297,0.1251,0.1886,0.261
23.046000,0.1219,0.1325,0.2172,0.282
23.064000,0.0827,0.1325,0.2655,0.308
23.078000,0.0901,0.1428,0.2472,0.299
23.088000,0.0531,0.1240,0.2242,0.262
23.101000,0.0629,0.1146,0.2531,0.285
23.117000,0.0606,0.1324,0.3657,0.394
23.122000,0.0504,0.1209,0.4470,0.466
23.144000,0.0177,0.0867,0.4767,0.485
23.158000,-0.0230,0.0401,0.4396,0.442
23.172000,-0.0768,0.0745,0.3827,0.397
23.189000,-0.0195,0.0804,0.1683,0.188
23.202000,-0.1081,0.0356,-0.0640,0.131
23.211000,-0.1730,-0.0014,-0.1154,0.208
23.222000,-0.1713,-0.0473,-0.0483,0.184
23.250000,-0.0445,-0.0060,0.2296,0.234
23.274000,-0.0534,-0.0120,0.2584,0.264
23.282000,-0.0645,-0.0164,0.1787,0.191
23.290000,-0.0960,-0.0113,-0.0270,0.100
23.302000,-0.0510,0.0269,0.0180,0.060
23.312000,-0.0163,0.0377,0.1107,0.118
23.327000,0.0335,0.0294,0.1969,0.202
23.342000,0.0250,0.0503,0.1946,0.203
23.359000,-0.0025,0.0810,0.1722,0.190
23.372000,-0.0459,0.0521,0.1858,0.198
23.382000,-0.0443,0.0539,0.2217,0.232
23.402000,-0.0017,0.0842,0.2472,0.261
23.420000,0.0081,0.0453,0.2086,0.214
23.430000,-0.0061,0.0354,0.1256,0.131
23.450000,-0.0518,0.0454,0.1535,0.168
23.465000,-0.0743,0.0657,0.2944,0.311
23.480000,-0.0355,0.0666,0.3440,0.352
23.495000,0.0095,0.0284,0.2799,0.281
23.507000,-0.0127,0.0565,0.1884,0.197
23.520000,-0.0322,0.0851,0.2010,0.221
23.526000,-0.0569,0.1329,0.3084,0.341
23.561000,-0.0454,0.1296,0.3972,0.420
23.585000,-0.0217,0.1186,0.4000,0.418
23.596000,-0.0406,0.1071,0.3668,0.384
23.614000,-0.0276,0.1431,0.2254,0.268
23.627000,-0.0131,0.1406,0.2356,0.275
23.646000,-0.0388,0.1453,0.2119,0.260
23.657000,-0.0603,0.1600,0.2516,0.304
23.666000,-0.0790,0.1275,0.2259,0.271
23.677000,-0.0770,0.0855,0.1591,0.196
23.699000,-0.1131,0.0918,0.1018,0.178
23.701000,-0.1387,0.0788,0.0238,0.161
23.713000,-0.1549,0.0957,0.0435,0.187
23.726000,-0.1505,0.0737,0.0810,0.186
23.732000,-0.1292,0.0437,0.1386,0.194
23.747000,-0.1161,0.0234,0.1651,0.203
23.755000,-0.1539,0.0522,0.2036,0.261
23.770000,-0.1820,0.0610,0.1643,0.253
23.778000,-0.1420,0.0795,0.1062,0.194
23.789000,-0.1223,0.0790,0.0383,0.151
23.808000,-0.1334,0.0490,0.0212,0.144
23.826000,-0.1292,0.0395,0.0571,0.147
23.891000,-0.1320,0.0307,0.0984,0.167
23.893000,-0.0999,0.0813,0.2223,0.257
23.894000,-0.0835,0.1057,0.3192,0.346
23.894000,-0.0990,0.0974,0.3338,0.362
23.894000,-0.0585,0.0792,0.3520,0.366
23.909000,-0.0861,0.0894,0.3027,0.327
23.918000,-0.0872,0.0789,0.2685,0.293
23.926000,-0.0461,0.0593,0.1904,0.205
23.944000,-0.0479,0.0978,0.1995,0.227
23.962000,-0.0858,0.0975,0.2432,0.276
23.977000,-0.0870,0.1064,0.3016,0.331
23.998000,-0.0360,0.1160,0.3153,0.338
24.010000,0.0025,0.1243,0.3188,0.342
24.024000,-0.0291,0.0915,0.3444,0.358
24.044000,-0.0715,0.1163,0.3150,0.343
24.061000,-0.1020,0.1321,0.2680,0.316
24.076000,-0.0910,0.1182,0.1498,0.211
24.092000,-0.1224,0.0764,0.1569,0.213
24.103000,-0.1220,0.0847,0.1886,0.240
24.127000,-0.1297,0.0944,0.2054,0.261
24.129000,-0.1451,0.0750,0.1991,0.258
24.150000,-0.1057,0.0958,0.2027,0.248
24.161000,-0.0834,0.1063,0.2371,0.273
24.180000,-0.0842,0.0694,0.2696,0.291
24.188000,-0.1061,0.1102,0.3840,0.413
24.203000,-0.0976,0.1401,0.3715,0.409
24.211000,-0.0874,0.1304,0.2886,0.329
24.222000,-0.0588,0.1104,0.2182,0.252
24.240000,-0.0313,0.1003,0.1915,0.218
24.252000,-0.0428,0.0803,0.1944,0.215
24.275000,-0.0514,0.1006,0.2315,0.258
24.278000,-0.0531,0.1111,0.2660,0.293
24.297000,-0.0734,0.0929,0.3322,0.353
24.308000,-0.0792,0.1132,0.2695,0.303
24.322000,-0.0736,0.1331,0.2281,0.274
24.332000,-0.1002,0.0846,0.3014,0.329
24.351000,-0.1026,0.0652,0.4026,0.421
24.359000,-0.1033,0.1243,0.5468,0.570
24.382000,-0.0654,0.1325,0.4717,0.494
24.406000,-0.0571,0.1294,0.3546,0.382
24.412000,-0.0446,0.1267,0.2243,0.261
24.418000,-0.0558,0.1350,0.1969,0.245
24.430000,-0.0438,0.1227,0.1763,0.219
24.448000,-0.0160,0.0988,0.1319,0.166
24.461000,-0.0387,0.0570,0.1567,0.171
24.478000,0.0125,0.1042,0.1268,0.165
24.489000,-0.0017,0.0646,0.1516,0.165
24.497000,-0.0591,0.0942,0.1601,0.195
24.510000,-0.0629,0.0748,0.1940,0.217
24.516000,-0.0599,0.0763,0.2790,0.295
24.526000,-0.1233,0.0481,0.3328,0.358
24.555000,-0.1570,0.0488,0.3191,0.359
24.567000,-0.1090,0.0210,0.2771,0.299
24.577000,-0.0721,0.0517,0.2355,0.252
24.597000,-0.0391,0.0607,0.1785,0.193
24.609000,-0.0112,0.0482,0.1348,0.144
24.627000,-0.0073,0.0461,0.1312,0.139
24.638000,-0.0573,0.0336,0.1542,0.168
24.657000,-0.0324,0.0503,0.1339,0.147
24.685000,-0.0589,0.0674,0.0821,0.121
24.686000,-0.0583,0.0745,0.0993,0.137
24.692000,-0.0417,0.0904,0.1423,0.174
24.708000,0.0150,0.0483,0.1642,0.172
24.722000,0.0344,0.0648,0.1851,0.199
24.741000,0.0113,0.0705,0.1536,0.169
24.756000,-0.0205,0.0482,0.1173,0.128
24.767000,0.0046,0.0858,0.0909,0.125
24.783000,0.0486,0.1146,0.1229,0.175
24.792000,0.0437,0.0841,0.1120,0.147
24.810000,0.0028,0.0342,0.0990,0.105
24.827000,-0.0360,0.0540,0.0780,0.101
24.846000,-0.0325,0.0454,0.0632,0.084
24.854000,0.0056,0.1060,-0.0170,0.108
24.872000,-0.0269,0.0690,-0.1411,0.159
24.882000,-0.0088,0.0747,-0.1785,0.194
24.894000,-0.0497,0.0629,-0.4137,0.421
24.906000,-0.1353,0.0226,-0.3850,0.409
24.917000,-0.1443,0.1454,-0.2505,0.324
24.930000,-0.0729,0.1760,-0.2253,0.295
24.942000,-0.0102,0.1332,-0.2381,0.273
24.965000,-0.0130,0.0868,-0.2328,0.249
24.973000,-0.2477,0.0486,-0.0641,0.260
24.992000,-0.4282,0.1601,-0.0125,0.457
25.005000,-0.3761,-0.0560,0.2705,0.467
25.022000,-0.2601,-0.0977,0.4017,0.488
25.040000,-0.1964,-0.0088,0.5876,0.620
25.059000,-0.3029,0.1389,0.5541,0.647
25.070000,-0.2492,0.2335,0.4510,0.566
25.094000,-0.2882,0.2190,0.3815,0.526
25.101000,-0.3496,0.1529,0.3260,0.502
25.110000,-0.2373,0.2024,0.2840,0.422
25.122000,-0.0993,0.2233,0.2725,0.366
25.138000,-0.0208,0.2631,0.3604,0.447
25.148000,0.0003,0.2399,0.4616,0.520
25.156000,0.0079,0.2077,0.4021,0.453
25.165000,-0.0327,0.1784,0.3981,0.437
25.184000,-0.0589,0.1213,0.3610,0.385
25.199000,-0.0140,0.0988,0.3185,0.334
25.218000,0.0441,0.1051,0.2983,0.319
25.221000,0.1222,0.1026,0.2584,0.304
25.241000,0.1813,0.0242,0.2300,0.294
25.242000,0.1745,-0.0199,0.2097,0.274
25.250000,0.1798,-0.0562,0.1915,0.269
25.268000,0.2030,-0.0874,0.1218,0.252
25.282000,0.2286,-0.1175,0.0115,0.257
25.292000,0.2283,-0.1630,-0.0371,0.283
25.306000,0.2648,-0.1669,-0.0122,0.313
25.316000,0.2322,-0.2136,0.0599,0.321
25.330000,0.2316,-0.2259,0.1130,0.343
25.346000,0.1340,-0.2747,0.2980,0.427
25.355000,0.0992,-0.3020,0.4037,0.514
25.369000,0.1064,-0.2523,0.4649,0.540
25.390000,0.1284,-0.1995,0.4300,0.491
25.395000,0.1950,-0.1577,0.2240,0.336
25.400000,0.2646,-0.1371,0.0543,0.303
25.412000,0.1692,-0.1467,0.0491,0.229
25.427000,0.0273,-0.1059,0.0582,0.124
25.444000,-0.0644,-0.0920,0.0494,0.123
25.460000,0.0132,-0.0425,0.0421,0.061
25.479000,0.0408,-0.0339,0.0270,0.060
25.495000,0.0350,-0.0055,0.0596,0.069
25.506000,-0.0210,0.0831,0.0597,0.104
25.523000,0.0438,-0.0220,-0.0085,0.050
25.529000,0.0674,-0.0291,-0.0815,0.110
25.552000,0.1558,-0.0248,-0.0962,0.185
25.568000,0.1555,-0.0300,-0.0219,0.160
25.586000,0.1182,-0.0011,0.0188,0.120
25.602000,0.1155,-0.0221,0.0322,0.122
25.616000,0.1678,-0.0133,0.0464,0.175
25.631000,0.0557,-0.0050,0.2396,0.246
25.642000,0.0377,-0.0321,0.2252,0.231
25.650000,0.0850,-0.0398,0.2684,0.284
25.668000,0.0979,-0.0119,0.3157,0.331
25.683000,0.1418,0.0222,0.2773,0.312
25.694000,0.1246,0.0457,0.2500,0.283
25.710000,0.1308,0.0361,0.2347,0.271
25.728000,0.1218,0.0683,0.2087,0.251
25.735000,0.1122,0.0924,0.2795,0.315
25.753000,0.1302,0.0829,0.3129,0.349
25.762000,-0.0265,0.1365,0.4131,0.436
25.774000,0.0242,-0.0167,0.4529,0.454
25.790000,0.0498,-0.0013,0.5217,0.524
25.800000,0.1242,-0.0130,0.5241,0.539
25.816000,0.0453,-0.0306,0.4286,0.432
25.823000,0.0629,-0.0152,0.3723,0.378
25.830000,0.0766,0.0270,0.2148,0.230
25.848000,0.1344,0.0531,0.1404,0.201
25.857000,0.1929,0.0912,0.0609,0.222
25.873000,0.1526,0.1003,-0.0348,0.186
25.895000,0.1163,0.0672,-0.1284,0.186
25.910000,0.0863,0.0331,-0.3263,0.339
25.921000,0.0644,-0.0040,-0.3420,0.348
25.947000,0.0496,-0.0935,-0.1695,0.200
25.949000,0.0749,-0.0123,0.0079,0.076
25.956000,0.0004,-0.0438,0.0554,0.071
25.972000,-0.0688,-0.0797,0.0669,0.125
25.986000,-0.0545,-0.0609,-0.0043,0.082
25.994000,0.0524,-0.0282,-0.0195,0.063
26.008000,0.0498,-0.0289,-0.0602,0.083
26.016000,0.0337,-0.0073,-0.1126,0.118
26.032000,0.0640,0.0133,-0.0656,0.093
26.049000,0.0541,0.0083,-0.0230,0.059
26.068000,0.0758,0.0272,0.0058,0.081
26.094000,0.0889,0.0186,-0.0064,0.091
26.096000,0.0707,0.0156,-0.0236,0.076
26.110000,0.0448,0.0068,-0.0259,0.052
26.121000,-0.0035,-0.0019,0.0309,0.031
26.126000,0.0457,0.0151,0.0430,0.065
26.150000,0.0940,0.0076,0.0401,0.102
26.160000,0.0634,-0.0256,0.0537,0.087
26.183000,0.0790,0.0090,0.0388,0.088
26.188000,0.0934,0.0142,0.1124,0.147
26.208000,0.1189,0.0099,0.0876,0.148
26.210000,0.1371,0.0276,0.0602,0.152
26.226000,0.1488,0.0731,0.0337,0.169
26.240000,0.1213,0.0728,0.0140,0.142
26.254000,0.0699,0.0427,0.0037,0.082
26.262000,0.0537,0.0425,0.0524,0.086
26.279000,0.0866,0.0223,0.1407,0.167
26.290000,0.0995,0.0016,0.1902,0.215
26.302000,0.1314,0.0594,0.2007,0.247
26.312000,0.0951,0.0279,0.1629,0.191
26.328000,0.0586,0.0056,0.1552,0.166
26.332000,0.0903,0.0132,0.1765,0.199
26.347000,0.1414,0.0112,0.1681,0.220
26.374000,0.1578,-0.0042,0.1823,0.241
26.374000,0.1509,0.0036,0.1640,0.223
26.382000,0.1497,-0.0326,0.2083,0.259
26.394000,0.1838,-0.0468,0.6530,0.680
26.404000,0.1709,-0.0969,0.7994,0.823
26.421000,-0.0746,-0.1300,0.7505,0.765
26.428000,-0.1033,-0.0951,0.4885,0.508
26.437000,0.0012,-0.0974,0.1170,0.152
26.450000,0.1908,0.1002,-0.3165,0.383
26.461000,0.2641,0.1140,-0.4778,0.558
26.483000,0.3411,0.1042,-0.4685,0.589
26.498000,0.4432,0.0974,-0.4626,0.648
26.501000,0.5154,0.0490,-0.5340,0.744
26.512000,0.6218,-0.0386,-0.4293,0.757
26.525000,0.7050,-0.0492,-0.3254,0.778
26.554000,0.7185,-0.0293,-0.4684,0.858
26.571000,0.7191,-0.0462,-0.4962,0.875
26.588000,0.8047,-0.0577,-0.5404,0.971
26.596000,0.9214,-0.0416,-0.9146,1.299
